,Date,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince Georges,Queen Anne's,St. Mary's,Somerset,Talbot,Washington,Wicomico,Worcester,Total,Female,Male,AA,Asian,White,Hispanic,Other,Data not available
48,4/22/20,3,49,58,58,5,0,32,5,29,1,29,0,2,13,1,110,125,2,3,0,1,3,2,0,631,292,339,289,21,234,69,10,8
49,4/23/20,3,54,60,62,6,0,34,5,31,2,30,0,2,14,1,121,141,2,4,0,1,3,3,0,680,320,360,289,21,258,72,19,30
50,4/24/20,3,56,65,65,6,0,34,5,33,2,35,0,3,14,2,135,147,3,6,0,1,3,3,0,723,350,373,289,25,275,40,17,77
51,4/25/20,3,62,72,69,7,0,36,5,34,2,39,0,4,15,3,152,162,3,6,0,1,3,4,0,797,385,412,301,29,296,44,10,117
52,4/26/20,3,63,73,71,7,0,36,5,34,2,39,0,4,15,3,160,163,3,6,0,1,3,4,0,827,400,427,305,30,301,46,11,134
53,4/27/20,4,66,82,87,7,0,37,5,36,2,42,0,4,16,4,190,187,3,6,0,1,3,5,0,858,412,446,353,33,328,56,16,72
54,4/28/20,5,70,83,94,8,0,44,6,38,2,42,0,6,17,4,201,195,4,7,0,1,3,5,1,929,449,480,365,36,362,58,15,93
55,4/29/20,6,75,94,104,8,0,45,8,41,2,45,0,6,18,4,218,213,4,7,0,1,3,7,2,985,483,502,404,36,390,64,17,74
56,4/30/20,7,83,104,110,8,0,46,8,43,2,49,0,6,18,5,229,229,6,7,0,1,4,7,2,1047,509,538,431,37,420,67,17,75
57,5/1/20,7,82,106,116,9,0,46,8,44,2,49,0,9,18,4,236,231,7,7,0,1,4,7,2,1098,531,567,436,38,436,69,16,103
58,5/2/20,8,86,117,125,10,0,46,8,45,2,52,0,10,19,4,256,257,8,7,0,1,6,10,2,1156,554,602,482,39,468,70,18,79
59,5/3/20,12,88,120,133,10,0,46,9,47,2,54,0,10,19,6,268,265,8,7,0,1,6,10,2,1182,566,616,500,39,486,78,18,61
