"With a disability, under age 65 years, percent, 2014-2018",11.50%,7.70%,7.30%,13.90%,7.50%
"Persons without health insurance, under age 65 years, percent",,,,,
,7.40%,6.20%,5.00%,5.50%,6.90%
Economy,,,,,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",61.50%,66.10%,67.40%,51.80%,67.20%
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",59.90%,62.00%,64.60%,51.80%,63.40%
"Total accommodation and food services sales, 2012 ($1,000)(c)","1,607,810","1,555,794","1,564,002",D,"12,516,782"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)(c)","11,349,171","6,062,420","2,975,254","616,134","40,821,901"
"Total manufacturers shipments, 2012 ($1,000)(c)","5,043,278","8,066,749","4,456,881",D,"39,532,989"
"Total merchant wholesaler sales, 2012 ($1,000)(c)","7,954,322","5,548,517","7,606,510",D,"60,734,191"
"Total retail sales, 2012 ($1,000)(c)","3,647,668","12,645,701","8,758,765","922,837","76,379,707"
"Total retail sales per capita, 2012(c)","$5,871 ","$15,470 ","$15,911 ","$12,469 ","$12,980 "
Transportation,,,,,
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",31,29.6,30.7,21.3,32.9
Income & Poverty,,,,,
"Median household income (in 2018 dollars), 2014-2018","$48,840 ","$74,127 ","$97,810 ","$44,065 ","$81,868 "
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","$29,700 ","$38,580 ","$44,979 ","$23,280 ","$40,517 "
"Persons in poverty, percent",,,,,
,18.90%,9.90%,7.00%,16.70%,9.00%
BUSINESSES,,,,,
Businesses,,,,,
"Total employer establishments, 2017","12,434","20,073","14,338","1,552","1,394,461"
"Total employment, 2017","294,638","328,070","242,551","23,844","23,354,791"
"Total annual payroll, 2017 ($1,000)","18,230,384","16,704,356","13,557,420","838,770","1,266,328,971"
"Total employment, percent change, 2016-2017",-0.20%,1.30%,2.40%,-3.30%,2.3%1
"Total nonemployer establishments, 2018","39,609","70,590","44,895","2,937","510,744"
"All firms, 2012","50,735","75,371","46,997","4,323","531,953"
"Men-owned firms, 2012","21,952","41,451","25,348","2,398","276,630"
"Women-owned firms, 2012","24,599","27,265","17,089","1,373","209,119"
"Minority-owned firms, 2012","27,673","23,329","9,994",311,"203,394"
"Nonminority-owned firms, 2012","20,782","49,895","35,336","3,738","314,902"
"Veteran-owned firms, 2012","4,216","7,322","5,547",417,"50,976"
"Nonveteran-owned firms, 2012","43,918","65,022","39,219","3,600","462,232"
GEOGRAPHY,,,,,
Geography,,,,,
"Population per square mile, 2010","7,671.50","1,345.50","1,295.90",177,594.8
"Land area in square miles, 2010",80.94,598.3,414.9,424.16,"9,707.24"
FIPS Code,24510,24005,24003,24001,24
